2020-12-30 09:45:19.927 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=d49e5506-5cfd-3287-bc10-07094172f134
2020-12-30 09:45:20.865 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9090 (http)
2020-12-30 09:45:20.885 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9090"]
2020-12-30 09:45:20.886 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-12-30 09:45:20.887 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.31]
2020-12-30 09:45:21.064 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-12-30 09:45:21.065 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 3223 ms
2020-12-30 09:45:22.039 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-0} closing ...
2020-12-30 09:45:22.042 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2020-12-30 09:47:03.034 [main] INFO  com.hjc.BlogApplication - The following profiles are active: default
2020-12-30 09:47:04.574 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-12-30 09:47:04.578 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-12-30 09:47:04.639 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 21ms. Found 0 Redis repository interfaces.
2020-12-30 09:47:04.917 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=d49e5506-5cfd-3287-bc10-07094172f134
2020-12-30 09:47:05.720 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9090 (http)
2020-12-30 09:47:05.734 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9090"]
2020-12-30 09:47:05.734 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-12-30 09:47:05.735 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.31]
2020-12-30 09:47:05.874 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-12-30 09:47:05.874 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 2749 ms
2020-12-30 09:47:07.200 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-12-30 09:47:07.206 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-12-30 09:47:07.520 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-12-30 09:47:08.497 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
2020-12-30 09:47:08.625 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9090"]
